sample_id,true_label,pred_label,pred_prob,latency_ms,cpu_usage_percent,ram_usage_mb
0,0,0,0.4892502098384074,5.421000067144632,0.0,141.8125
1,1,1,0.6000670995932904,4.676500102505088,0.0,141.8125
2,0,1,0.6374322783982219,6.585499970242381,0.0,141.8125
3,0,0,0.45700632705195066,7.219600025564432,0.0,141.8125
4,0,0,0.4063584082795634,7.788499933667481,0.0,141.82421875
5,0,0,0.3394099199885923,7.180499960668385,0.0,141.82421875
6,1,1,0.6095273900341217,4.861499997787178,0.0,141.82421875
7,0,0,0.40540056101217586,7.466100039891899,97.7,141.82421875
8,0,0,0.4904661342645532,4.014299949631095,0.0,141.82421875
9,1,1,0.6171961420397098,5.0533999456092715,0.0,141.82421875
10,1,0,0.4462294032082294,7.445199997164309,0.0,141.82421875
11,1,1,0.6383515912054167,4.74420003592968,0.0,141.82421875
12,1,1,0.5870095477335321,4.219199996441603,0.0,141.82421875
13,1,1,0.6002723626270637,6.274900049902499,0.0,141.82421875
14,0,1,0.5083742861881264,4.338399972766638,0.0,141.82421875
15,0,1,0.5313834004409168,4.33809997048229,0.0,141.82421875
16,0,0,0.31067168373881454,7.197699975222349,0.0,141.82421875
17,0,0,0.23125599089031662,4.786000004969537,0.0,141.82421875
18,1,1,0.6029225888288396,3.8903000531718135,0.0,141.82421875
19,1,1,0.626943956480323,6.24329992569983,0.0,141.82421875
20,1,1,0.6682081276075551,4.589200019836426,0.0,141.82421875
21,0,1,0.5113411876410041,4.043499939143658,0.0,141.82421875
22,0,1,0.6173481538566155,5.845899926498532,0.0,141.82421875
23,0,1,0.5962862726293552,5.76500000897795,0.0,141.8359375
24,1,1,0.512098734206657,4.216799978166819,0.0,141.8359375
25,0,1,0.5656629463052179,3.7269999738782644,0.0,141.8359375
26,1,1,0.5770435947280298,6.80929992813617,0.0,141.8359375
27,0,1,0.5088710082061998,4.414399969391525,0.0,141.8359375
28,1,0,0.4943153956171063,4.83760004863143,0.0,141.8359375
29,1,0,0.37826906609680744,5.979200010187924,0.0,141.8359375
30,1,1,0.7217895128813672,4.218199988827109,0.0,141.8359375
31,1,1,0.5708015572161143,3.998400061391294,0.0,141.8359375
32,0,0,0.4349822012182149,6.348200025968254,0.0,141.8359375
33,1,1,0.6045429877273993,4.767399979755282,0.0,141.8359375
34,1,1,0.5993693688315817,5.525700049474835,0.0,141.8359375
35,1,1,0.5056559290219298,5.2786999149248,0.0,141.8359375
36,1,1,0.6978082593579715,3.8343999767675996,0.0,141.8359375
37,1,1,0.5706026219687855,3.981500049121678,0.0,141.8359375
38,1,0,0.43277973466880876,3.7491999100893736,0.0,141.8359375
39,1,1,0.6657515715129063,5.302199977450073,0.0,141.8359375
40,1,1,0.5699572107276382,4.091199953109026,0.0,141.8359375
41,0,0,0.47985338113090126,3.906100057065487,0.0,141.8359375
42,1,1,0.6558100475915558,6.300399894826114,0.0,141.8359375
43,0,0,0.4643724097553024,5.168800009414554,0.0,141.8359375
44,0,0,0.4916074707662822,4.86260000616312,0.0,141.8359375
45,0,0,0.3213190356546806,5.925299949012697,0.0,141.8359375
46,1,1,0.6249680822434698,5.147399962879717,0.0,141.8359375
47,0,0,0.45446723373249726,6.170199951156974,0.0,141.8359375
48,1,1,0.5578743092875811,6.608800031244755,0.0,141.8359375
49,1,1,0.529211431818943,5.0765000050887465,0.0,141.8359375
50,0,0,0.4565922310839709,3.7542000645771623,0.0,141.8359375
51,1,1,0.5041830492289753,5.514599964953959,0.0,141.8359375
52,1,1,0.63786734341528,3.9688999531790614,0.0,141.8359375
53,1,1,0.5568114781377299,4.851100035011768,0.0,141.8359375
54,0,0,0.40371168236020766,5.737599916756153,0.0,141.8359375
55,0,0,0.4775302422328448,4.162400029599667,0.0,141.8359375
56,0,0,0.31773830611557935,3.851699992083013,0.0,141.8359375
57,0,1,0.5014983983589995,4.502000054344535,0.0,141.8359375
58,0,0,0.29607591462393434,4.842800088226795,0.0,141.8359375
59,1,1,0.6920086855288488,3.9447000017389655,0.0,141.8359375
60,1,0,0.48144856406286535,4.41059994045645,0.0,141.8359375
61,0,0,0.43239892453730644,3.8395000156015158,0.0,141.8359375
62,0,0,0.4286081487846894,5.644799908623099,0.0,141.8359375
63,0,0,0.4823425223682146,3.9340000366792083,0.0,141.8359375
64,0,1,0.5496154534454293,4.1114999912679195,0.0,141.8359375
65,1,1,0.6097489467578792,3.7611000007018447,0.0,141.8359375
66,1,1,0.7176994975715236,6.387499975971878,0.0,141.8359375
67,1,1,0.618791350156391,5.169000010937452,0.0,141.8359375
68,1,1,0.5367554174425899,4.787500016391277,0.0,141.8359375
69,0,0,0.3855191855501078,5.173699930310249,0.0,141.8359375
70,1,1,0.6649609556699352,4.6187000116333365,0.0,141.8359375
71,1,1,0.5326854915451422,3.867299994453788,0.0,141.8359375
72,0,0,0.45012139088724384,8.027800009585917,0.0,141.8359375
73,1,1,0.6471139195203766,4.1732999961823225,0.0,141.8359375
74,1,1,0.6472704707545327,4.579299944452941,0.0,141.8359375
75,0,1,0.5697393119184222,6.801299983635545,104.2,141.8359375
